"CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP"
"Tangshan",58,55,1,39.3752,118.1044,7935800
"Cangzhou",48,45,3,38.1816,116.5019,7443000
"Zhangjiakou",41,41,0,40.4603,114.5309,4421700
"Handan",32,32,0,36.3733,114.3220,9433000
"Baoding",32,32,0,38.5228,115.2752,11552400
"Langfang",30,30,0,39.3217,116.4102,4740900
"Shijiazhuang",29,29,0,38.0238,114.3050,10701600
"Xingtai",23,22,1,37.0412,114.3018,7294400
"Qinhuangdao",10,9,1,39.5610,119.3600,3073200
"Hengshui",8,8,0,37.4420,115.4012,4435400
"Chengde",7,7,0,40.5711,117.5747,3530100
"Sanya",54,53,1,18.1510,109.3040,748900
"Haikou",39,38,0,20.03,110.10,2272100
"Danzhou",15,13,1,19.3116,109.3452,977700
"Wanning",13,13,0,18.7951,110.3911,545597
"Chengmai",9,8,1,19.7385,110.0068,590000
"Changjiang",7,7,0,19.2982,109.0557,230000
"Qionghai",6,5,1,18.19,110.40,483217
"Lingao",6,6,0,19.9120,109.6905,473000
"Lingshui",4,4,0,18.3000,110.0120,330000
"Baoting",3,3,0,18.6391,109.7026,160000
"Dongfang",3,2,1,19.0954,108.6518,435000
"Dingan",3,2,1,19.6814,110.3589,310000
"Wenchang",3,3,0,19.5433,110.7978,558000
"Ledong",2,2,0,18.7503,109.1731,460000
"Qiongzhong",1,1,0,19.0334,109.8384,200000
"Hongkong",114,59,3,22.3193,114.1694,7482500
"Harbin",198,186,4,45.4805,126.3145,10630000
"Shuangyashan",52,47,3,46.3846,131.0931,1474300
"Suihua",47,41,4,46.3914,126.5808,5485100
"Jixi",46,45,0,45.1744,130.5808,1811700
"Qiqihaer",43,40,1,47.2113,123.5507,5493700
"Daqing",26,23,1,46.3520,125.0614,2774800
"Qitaihe",17,16,0,45.4619,131.0006,831100
"Jiamusi",15,15,0,46.4800,130.1905,2375500
"Mudanjiang",15,13,0,44.3307,129.3759,2620400
"Heihe",14,13,0,50.1442,127.3141,1679400
"Hegang",5,4,0,47.2100,130.1753,1056100
"Daxinganling",3,2,0,49.2257,123.0924,472400
"Yichun",1,1,0,47.4339,128.5026,1211900
"Changsha",242,236,2,28.1146,112.5820,7918100
"Yueyang",156,153,1,29.2124,113.0744,5933300
"Shaoyang",102,100,1,27.1420,111.2803,7261700
"Changde",82,82,0,29.0154,111.4155,5843900
"Zhuzhou",80,78,0,27.4941,113.0802,4000500
"Loudi",76,75,0,27.4200,111.5935,3871800
"Yiyang",60,60,0,28.3314,112.2118,4410200
"Hengyang",48,48,0,26.5335,112.3419,7337500
"Yongzhou",44,44,0,26.2512,111.3647,5429700
"Huaihua",40,40,0,27.3410,110.0006,5235200
"Chenzhou",39,39,0,25.4614,113.0052,4730200
"Xiangtan",36,36,0,27.4948,112.5638,2865000
"Xiangxi",8,8,0,28.1843,109.4420,2634500
"Zhangjiajie",5,5,0,29.0701,110.2844,1524000
"Changchun",45,45,0,43.530449,125.190635,7533000
"Siping",15,14,1,43.0958,124.2100,3264100
"Liaoyuan",7,7,0,42.5317,125.0838,1208000
"Tonghua",6,5,0,41.4341,125.5624,2211000
"Gongzhuling",6,6,0,43.30,124.49,1082266
"Yanbian",5,5,0,42.5328,129.3032,2135800
"Jilin",5,5,0,43.8379,126.5496,27530000
"Songyuan",2,2,0,45.0831,124.4930,2780700
"Baicheng",1,1,0,45.3712,122.5020,1966700
"Meihekou",1,1,0,42.5393,125.7109,810000
"Nanjing",93,93,0,32.03,118.46,8436200
"Suzhou",87,87,0,31.30,120.37,10721900
"Xuzhou",79,79,0,34.1218,117.1659,9800000
"Huaian",66,66,0,33.3300,119.0650,4872000
"Wuxi",55,54,0,31.2924,120.1847,6574500
"Changzhou",51,51,0,31.4836,119.5834,4729000
"Lianyungang",48,48,0,34.3549,119.1319,4518400
"Nantong",40,40,0,31.5848,120.5342,7300000
"Taizhou",37,37,0,32.2718,119.5523,4641600
"Yancheng",27,27,0,33.2049,120.0950,8247000
"Yangzhou",23,23,0,32.2335,119.2454,4523600
"Suqian",13,13,0,33.5745,118.1633,4853800
"Zhenjiang",12,12,0,32.1117,119.2541,3176500
"Nanchang",230,230,0,28.4038,115.5358,5545500
"Xinyu",130,130,0,27.4903,114.5501,1166700
"Shangrao",123,123,0,28.2718,117.5635,6715100
"Jiujiang",118,118,0,29.4219,116.0009,4896800
"Yichun",106,106,0,27.4857,114.2500,5512000
"Ganzhou",76,75,1,25.4950,114.5558,8588700
"Fuzhou",72,72,0,27.5658,116.2130,3992800
"Pingxiang",33,33,0,27.3723,113.5116,1901100
