"","CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP","RATE"
"80","Qianxinanzhou",4,4,0,25,518,104.5423,0.0382620240802049
"81","Xinyang",274,271,2,32.085,114.0525,6400000,4.28125e-05
"82","Zhengzhou",158,152,5,34.45,113.38,10136000,1.55880031570639e-05
"83","Nanyang",156,152,3,32.5923,112.3142,10021200,1.55669979643157e-05
"84","Zhumadian",139,139,0,33.0039,114.0118,6955500,1.99841851771979e-05
"85","Shangqiu",91,88,3,34.2453,115.3921,9151200,9.94405105341376e-06
"86","Zhoukou",76,74,1,33.3735,114.4148,8809200,8.62734414021705e-06
"87","Pingdingshan",58,57,1,33.4559,113.113,5520000,1.05072463768116e-05
"88","Xinxiang",57,54,3,35.1811,113.5534,5721000,9.96329313057158e-06
"89","Anyang",53,53,0,36.055,114.2332,5117000,1.03576314246629e-05
"90","Xuchang",39,38,1,34.021,113.5107,4411500,8.84053043182591e-06
"91","Luohe",35,35,0,33.3448,114.0058,2840000,1.23239436619718e-05
"92","Jiaozuo",32,31,1,35.1257,113.1432,3534000,9.05489530277306e-06
"93","Luoyang",31,30,1,34.371,112.2715,6743000,4.59736022541895e-06
"94","Kaifeng",26,26,0,34.4751,114.1828,4542600,5.72359441729406e-06
"95","Hebi",19,19,0,35.4453,114.1747,1606000,1.18306351183064e-05
"96","Puyang",17,17,0,35.4543,115.0141,3950000,4.30379746835443e-06
"97","Sanmenxia",7,6,1,34.4623,111.12,2246500,3.11595815713332e-06
"98","Jiyuan",5,5,0,35.040155,112.360461,733000,6.82128240109141e-06
"99","Wuhan",49991,35197,2436,30.35,114.19,10892900,0.00458931964857843
"100","Xiaogan",3518,3204,126,30.5503,113.5726,4878000,0.00072119721197212
"101","Huanggang",2907,2720,125,30.2713,114.522,6291000,0.0004620886981402
"102","Jingzhou",1580,1464,49,30.2006,112.1424,5705900,0.000276906360083422
"103","Ezhou",1394,1184,55,30.2331,114.5342,1079500,0.00129133858267717
"104","Suizhou",1307,1181,45,31.4124,113.2257,2210800,0.000591188709969242
